states,x,y
Abia,-80,-246
Adamawa,217,20
Akwa Ibom,-72,-301
Anambra,-126,-209
Bauchi,32,99
Bayelsa,-208,-300
Benue,-46,-131
Borno,269,191
Cross River,-37,-234
Delta,-217,-243
Ebonyi,-55,-191
Edo,-226,-177
Ekiti,-245,-98
Enugu,-100,-174
Abuja,-125,-18
Gombe,152,71
Imo,-124,-244
Jigawa,30,229
Kaduna,-96,99
Kano,-40,188
Katsina,-99,248
Kebbi,-339,219
Kogi,-190,-81
Kwara,-292,-25
Lagos,-389,-181
Nasarawa,-77,-50
Niger,-276,53
Ogun,-392,-147
Ondo,-265,-143
Osun,-299,-105
Oyo,-386,-56
Plateau,22,8
Rivers,-148,-286
Sokoto,-280,300
Taraba,81,-76
Yobe,154,226
Zamfara,-211,206
